SET 1,SET 2,SET 3,SET 4,SET 5,Jogadora,Time,Partida,Vencedor,Serviço Err,Serviço Ace,Recepção Tot,Recepção Err,Ataque Exc.,Ataque Err,Ataque Blk,Bloqueio Pts,Fase,Cat,Jogo,VV
6,1,6,1,6,ANA CRISTINA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,1,,,1,classificatoria,turno,1,0
4,5,4,5,,NATALIA MONTEIRO,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,23,,7,5,2,2,classificatoria,turno,1,0
1,2,1,2,1,ALESSANDRA JANUARIA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,2,1,23,1,16,2,2,2,classificatoria,turno,1,0
*,,*,,,MAYNARA DEVESA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,,,,,classificatoria,turno,1,0
5,,*,6,5,ALINE CRISTINA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,1,,,5,,1,,classificatoria,turno,1,0
,,,*,4,ANA CAROLINE,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,1,,12,,4,,1,,classificatoria,turno,1,0
3,4,3,4,3,ARIANNE TOLENTINO,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,2,2,,,16,3,5,,classificatoria,turno,1,0
2,3,2,3,2,EDNA SCHLINDWEIN,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,1,2,,7,,1,8,classificatoria,turno,1,1
*,6,5,*,*,EMILCE SOSA,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,1,,,1,classificatoria,turno,1,0
*,*,*,*,*,VITORIA TRINDADE (L),BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,,,,,classificatoria,turno,1,0
*,*,*,*,*,SARA DIAS,BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,,,,1,classificatoria,turno,1,0
*,*,*,*,*,JULIANA PAES (L),BRASÍLIA VÔLEI,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,24,1,,,,,classificatoria,turno,1,0
5,6,4,4,3,NATALIA DANIELSKI,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,1,1,51,4,15,2,3,1,classificatoria,turno,1,0
*,,,*,*,JULIANA ODILON,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,,,,,classificatoria,turno,1,0
,*,,*,,BEATRIZ MORAES,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,1,,,,,,,,classificatoria,turno,1,0
,*,,*,,LAIZA FERREIRA,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,1,2,,,classificatoria,turno,1,0
6,1,5,5,4,CAMILA LEITE,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,2,,1,,16,,,5,classificatoria,turno,1,0
4,5,3,3,2,FRANCIANE RICHTER,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,1,,2,,7,4,4,3,classificatoria,turno,1,0
2,3,1,1,6,AMANDA SILVA,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,1,,29,3,19,4,4,,classificatoria,turno,1,0
1,2,6,6,5,THAIS OLIVEIRA,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,1,1,1,,,,,1,classificatoria,turno,1,0
*,*,*,*,*,TIFANY NASCIMENTO (L),UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,1,,,,,,classificatoria,turno,1,0
,4,,,,PALOMA LOPES,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,,,,1,2,,classificatoria,turno,1,0
3,,2,2,1,JUSSARA SILVA,UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,3,,,,5,1,2,2,classificatoria,turno,1,0
*,*,,*,*,JULIA MACHADO (L),UNILIFE-MARINGA,BRASÍLIA VÔLEI x UNILIFE-MARINGA,BRASÍLIA VÔLEI,,,16,,,,,,classificatoria,turno,1,0
4,4,4,,,BRAYELIN MARTINEZ,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x ESPORTE CLUBE PINHEIROS,DENTIL PRAIA CLUBE,1,1,1,,10,2,,1,classificatoria,turno,2,0
6,6,6,,,JINEIRY MARTINEZ,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x ESPORTE CLUBE PINHEIROS,DENTIL PRAIA CLUBE,1,1,,,8,,1,2,classificatoria,turno,2,0
1,1,1,,,CLAUDIA BUENO,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x ESPORTE CLUBE PINHEIROS,DENTIL PRAIA CLUBE,1,,,,,,,1,classificatoria,turno,2,0
2,2,2,,,ANNE ELISE BUIJS,DENTIL PRAIA CLUBE,DENTIL PRAIA CLUBE x ESPORTE CLUBE PINHEIROS,DENTIL PRAIA CLUBE,,1,21,2,14,,1,2,classificatoria,turno,2,1
